,contested,democrat_name,democrat_percent,democrat_votes,democrat_winner,district,other_candidates,republican_name,republican_percent,republican_votes,republican_winner,state_name
133,True,A. Howland,0.405,140023.0,False,6,[],P. Roskam (i),0.595,205746.0,True,Illinois
134,True,D. Davis (i),0.84,232322.0,True,7,[],J. Leef,0.16,44242.0,False,Illinois
135,True,R. Krishnamoorthi,0.581,141138.0,True,8,[],P. DiCianni,0.419,101893.0,False,Illinois
136,True,J. Schakowsky (i),0.658,203834.0,True,9,[],J. McCarthy Lasonde,0.342,105920.0,False,Illinois
137,True,B. Schneider,0.525,147299.0,True,10,[],R. Dold (i),0.47500000000000003,133383.0,False,Illinois
138,True,B. Foster (i),0.599,157659.0,True,11,[],T. Khouri,0.401,105762.0,False,Illinois
139,True,C. Baricevic,0.397,123754.0,False,12,"[{'name': 'P. Bradshaw', 'winner': False, 'votes': 18713, 'percent': 0.06}]",M. Bost (i),0.543,169233.0,True,Illinois
140,True,M. Wicklund,0.403,125932.0,False,13,[],R. Davis (i),0.597,186791.0,True,Illinois
141,True,J. Walz,0.404,134362.0,False,14,[],R. Hultgren (i),0.596,197962.0,True,Illinois
142,False,,,,False,15,[],J. Shimkus (i),,,True,Illinois
143,False,,,,False,16,[],A. Kinzinger (i),,,True,Illinois
144,True,C. Bustos (i),0.601,170746.0,True,17,[],P. Harlan,0.399,113141.0,False,Illinois
145,True,J. Rodriguez,0.278,95741.0,False,18,[],D. LaHood (i),0.722,248701.0,True,Illinois
146,True,C. Hanabusa,0.719,135069.0,True,1,"[{'name': 'A. Yim', 'winner': False, 'votes': 6127, 'percent': 0.033}, {'name': 'C. Griffin', 'winner': False, 'votes': 4040, 'percent': 0.022}]",S. Ostrov,0.227,42569.0,False,Hawaii
147,True,T. Gabbard (i),0.811,163484.0,True,2,[],A. Kaaihue,0.189,38098.0,False,Hawaii
148,False,P. Visclosky (i),0.8150000000000001,207299.0,True,1,"[{'name': 'D. Dunn', 'winner': False, 'votes': 47009, 'percent': 0.185}]",,,,False,Indiana
149,True,L. Coleman,0.369,102332.0,False,2,"[{'name': 'R. Cenkush', 'winner': False, 'votes': 10594, 'percent': 0.038}]",J. Walorski (i),0.593,164276.0,True,Indiana
150,True,T. Schrader,0.23,65908.0,False,3,"[{'name': 'P. Snyder', 'winner': False, 'votes': 19782, 'percent': 0.069}]",J. Banks,0.7010000000000001,201216.0,True,Indiana
151,True,J. Dale,0.305,91153.0,False,4,"[{'name': 'S. Mayoras', 'winner': False, 'votes': 14758, 'percent': 0.049}]",T. Rokita (i),0.646,193272.0,True,Indiana
152,True,A. Demaree,0.343,123791.0,False,5,"[{'name': 'M. Wittlief', 'winner': False, 'votes': 15324, 'percent': 0.042}]",S. Brooks (i),0.615,221785.0,True,Indiana
153,True,B. Welsh,0.267,79075.0,False,6,"[{'name': 'R. Turvey', 'winner': False, 'votes': 12325, 'percent': 0.042}]",L. Messer (i),0.6910000000000001,204844.0,True,Indiana
154,True,A. Carson (i),0.6000000000000001,158606.0,True,7,"[{'name': 'D. Thompson', 'winner': False, 'votes': 11470, 'percent': 0.043000000000000003}]",C. Ping,0.357,94396.0,False,Indiana
155,True,R. Drake,0.316,93130.0,False,8,"[{'name': 'A. Horning', 'winner': False, 'votes': 13630, 'percent': 0.046}]",L. Bucshon (i),0.637,187569.0,True,Indiana
156,True,S. Yoder,0.405,130539.0,False,9,"[{'name': 'R. Brooksbank', 'winner': False, 'votes': 17417, 'percent': 0.054}]",T. Hollingsworth,0.541,174698.0,True,Indiana
157,True,M. Vernon,0.461,176447.0,False,1,[],R. Blum (i),0.539,206273.0,True,Iowa
158,True,D. Loebsack (i),0.537,197802.0,True,2,[],C. Peters,0.463,170529.0,False,Iowa
159,True,J. Mowrer,0.398,154780.0,False,3,"[{'name': 'B. Holder', 'winner': False, 'votes': 15337, 'percent': 0.039}, {'name': 'C. Addy', 'winner': False, 'votes': 6335, 'percent': 0.016}, {'name': 'J. Grandanette', 'winner': False, 'votes': 4511, 'percent': 0.012}]",D. Young (i),0.535,208264.0,True,Iowa
160,True,K. Weaver,0.386,142018.0,False,4,[],S. King (i),0.614,225842.0,True,Iowa
161,True,J. Piotrowski,0.32,111035.0,False,1,[],R. Labrador (i),0.68,236397.0,True,Idaho
162,True,J. Martinez,0.293,97250.0,False,2,"[{'name': 'A. Tomkins', 'winner': False, 'votes': 25575, 'percent': 0.077}]",M. Simpson (i),0.63,208887.0,True,Idaho
